index	initial_lddt	final_lddt	ideal_lddt
18920	tensor(0.4363)	tensor(0.4363)	tensor(0.5743)
18960	tensor(0.4246)	tensor(0.4246)	tensor(0.5461)
19000	tensor(0.4261)	tensor(0.4261)	tensor(0.5542)
19040	tensor(0.4151)	tensor(0.4151)	tensor(0.5469)
19080	tensor(0.4054)	tensor(0.4054)	tensor(0.5710)
19120	tensor(0.3520)	tensor(0.3520)	tensor(0.4874)
19160	tensor(0.3274)	tensor(0.3274)	tensor(0.4622)
19200	tensor(0.4098)	tensor(0.4098)	tensor(0.5406)
19240	tensor(0.4539)	tensor(0.4539)	tensor(0.5840)
19280	tensor(0.4101)	tensor(0.4101)	tensor(0.5337)
19320	tensor(0.4046)	tensor(0.4046)	tensor(0.5181)
19360	tensor(0.3307)	tensor(0.4437)	tensor(0.4584)
19400	tensor(0.3352)	tensor(0.3352)	tensor(0.4527)
19440	tensor(0.2939)	tensor(0.2939)	tensor(0.3999)
19480	tensor(0.4404)	tensor(0.4404)	tensor(0.5636)
19520	tensor(0.4678)	tensor(0.4678)	tensor(0.5919)
19560	tensor(0.4230)	tensor(0.4230)	tensor(0.5511)
19600	tensor(0.4790)	tensor(0.5008)	tensor(0.5927)
19640	tensor(0.3661)	tensor(0.3661)	tensor(0.5032)
19680	tensor(0.4103)	tensor(0.4443)	tensor(0.5076)
19720	tensor(0.3785)	tensor(0.3785)	tensor(0.5221)
19760	tensor(0.4360)	tensor(0.4360)	tensor(0.5684)
19800	tensor(0.4341)	tensor(0.4341)	tensor(0.5532)
19840	tensor(0.4190)	tensor(0.4190)	tensor(0.5542)
19880	tensor(0.4219)	tensor(0.4219)	tensor(0.5416)
19920	tensor(0.4288)	tensor(0.4288)	tensor(0.5563)
19960	tensor(0.4007)	tensor(0.4007)	tensor(0.5308)
